AREA,N° CRUCE,INTERSECCIÓN,Controlador tipo,Centralizado ,Restan cambiar,En sistema,Conexión,Proyecto,Subárea,Edad
4,4308,Córdoba Av.-Medrano Av.,Autotrol CT800dmc,SI,1,Citar,Par telefónico,Córdoba / Medrano,407,1
4,4309,Córdoba Av.-Acuña de Figueroa F.,Autotrol CT800dmc,SI,1,Citar,Par telefónico,Córdoba / Medrano,407,1
4,4310,Córdoba Av.-Gascón,Autotrol CT800dmc,SI,1,Citar,Par telefónico,Córdoba / Medrano,407,1
4,4311,Córdoba Av.-Rawson,Autotrol CT800dmc,SI,1,Citar,Par telefónico,Córdoba / Medrano,407,1
4,4312,Córdoba Av.-Pringles,Autotrol CT800dmc,SI,1,Citar,Par telefónico,Córdoba / Medrano,407,1
4,4313,Córdoba Av.-Lavalleja,Autotrol CT800dmc,SI,1,Citar,Par telefónico,Córdoba / Medrano,407,1
4,4314,Córdoba Av.-Alvarez Julián,Autotrol CT800dmc,SI,1,Citar,Par telefónico,Córdoba / Medrano,407,1
4,4315,Córdoba Av.-Araoz,Autotrol CT800dmc,SI,1,Citar,Par telefónico,Córdoba / Medrano,407,1
4,4316,Córdoba Av.-Scalabrini Ortiz Av.,Autotrol CT800dmc,SI,1,Citar,Par telefónico,Córdoba / Thames,405,1
4,4317,Córdoba Av.-Malabia,Autotrol CT800dmc,SI,1,Citar,Par telefónico,Córdoba / Thames,405,1
4,4318,Córdoba Av.-Armenia/Acevedo Eduardo,Autotrol CT800dmc,SI,1,Citar,Par telefónico,Córdoba / Thames,405,1
4,4319,Córdoba Av.-Gurruchaga,Autotrol CT800dmc,SI,1,Citar,Par telefónico,Córdoba / Thames,405,1
4,4320,Córdoba Av.-Serrano,Autotrol CT800dmc,SI,1,Citar,Par telefónico,Córdoba / Thames,405,1
4,4321,Córdoba Av.-Thames,Autotrol CT800dmc,SI,1,Citar,Par telefónico,Córdoba / Thames,405,1
4,4322,Córdoba Av.-Uriarte,Autotrol CT800dmc,SI,1,Citar,Par telefónico,Córdoba / Thames,405,1
